                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                  1.261,                  1.961,                 1.2288,                0.42876,                0.20562,                 0.0951,                 0.0614,                 1.2177,                 2.1677,                 1.2499,               0.005446,               0.005446,               0.005446
                     48,                 1.2593,                 1.9639,                 1.2309,                0.27875,                0.20585,                0.10231,                 0.0697,                 1.2527,                 2.0251,                 1.2935,               0.005347,               0.005347,               0.005347
                     49,                 1.2291,                 1.9423,                 1.2173,                0.28725,                0.18173,                 0.0902,                 0.0608,                 1.2826,                 2.1256,                  1.314,               0.005248,               0.005248,               0.005248
                     50,                 1.2622,                 2.0105,                 1.2286,                0.41705,                0.20295,                0.10096,                0.06751,                 1.2662,                 2.0516,                 1.3044,               0.005149,               0.005149,               0.005149
                     51,                 1.2477,                 1.9591,                 1.2215,                0.41172,                0.13436,                0.08681,                0.05785,                 1.2421,                 2.1314,                 1.3064,                0.00505,                0.00505,                0.00505
                     52,                 1.2196,                 1.9392,                 1.2004,                0.44201,                0.17522,                0.08976,                0.05763,                 1.2641,                 2.1113,                 1.2912,               0.004951,               0.004951,               0.004951
                     53,                 1.2107,                 1.9126,                 1.1924,                0.29321,                0.17016,                0.09431,                0.06153,                 1.2705,                 2.0812,                 1.2813,               0.004852,               0.004852,               0.004852
                     54,                  1.174,                 1.8759,                 1.1801,                0.27871,                 0.1633,                0.10198,                0.06777,                 1.2167,                  2.088,                 1.2735,               0.004753,               0.004753,               0.004753
                     55,                 1.1952,                 1.9164,                 1.2021,                0.46713,                0.18783,                0.09712,                0.06283,                 1.2635,                 2.0563,                 1.2813,               0.004654,               0.004654,               0.004654
                     56,                 1.2204,                  1.934,                 1.2176,                0.27775,                0.19954,                0.09494,                0.06256,                   1.23,                 2.0115,                 1.2726,               0.004555,               0.004555,               0.004555
                     57,                 1.1905,                  1.909,                 1.2005,                0.26501,                0.21469,                0.10012,                0.06785,                 1.1838,                 2.0212,                 1.2635,               0.004456,               0.004456,               0.004456
                     58,                 1.1814,                 1.8571,                 1.1937,                0.24032,                0.18405,                0.09343,                0.06263,                 1.2651,                 2.0583,                 1.3028,               0.004357,               0.004357,               0.004357
                     59,                 1.1914,                 1.8677,                 1.1908,                0.32528,                0.21993,                0.09911,                0.06726,                 1.2377,                 2.0346,                 1.2906,               0.004258,               0.004258,               0.004258
                     60,                 1.1978,                 1.8607,                 1.1795,                0.30535,                0.16882,                0.10529,                 0.0719,                 1.2194,                 1.9865,                 1.2589,               0.004159,               0.004159,               0.004159
                     61,                 1.1718,                 1.8289,                 1.1821,                0.45805,                0.18147,                0.10708,                0.07026,                 1.2451,                  2.034,                 1.2862,                0.00406,                0.00406,                0.00406
                     62,                 1.1888,                 1.8325,                 1.1868,                0.32067,                0.21519,                0.12582,                0.08811,                  1.223,                  2.015,                 1.2676,               0.003961,               0.003961,               0.003961
                     63,                 1.1445,                 1.7964,                 1.1574,                0.12678,                0.20592,                0.11357,                0.07978,                 1.1957,                 1.9816,                 1.2671,               0.003862,               0.003862,               0.003862
                     64,                 1.1758,                 1.8111,                 1.1819,                0.63785,                0.14572,                0.11217,                0.07819,                 1.2209,                 2.0264,                 1.2897,               0.003763,               0.003763,               0.003763
                     65,                 1.1656,                 1.8208,                 1.1672,                0.26767,                0.20849,                0.11636,                 0.0773,                 1.2369,                 2.0124,                 1.2826,               0.003664,               0.003664,               0.003664
                     66,                 1.1416,                 1.7847,                  1.161,                0.46714,                0.12657,                0.10801,                0.07142,                 1.2016,                 2.0375,                 1.2678,               0.003565,               0.003565,               0.003565
                     67,                 1.1586,                 1.7806,                 1.1706,                 0.2992,                0.17694,                0.09771,                 0.0667,                 1.2395,                 2.0459,                 1.2874,               0.003466,               0.003466,               0.003466
                     68,                 1.1495,                 1.8145,                 1.1562,                0.28854,                0.18663,                0.11961,                0.08368,                 1.2069,                 2.0005,                 1.2725,               0.003367,               0.003367,               0.003367
                     69,                 1.1421,                 1.7876,                  1.175,                0.13222,                0.22513,                0.11269,                0.07765,                 1.2041,                 1.9847,                 1.2698,               0.003268,               0.003268,               0.003268
                     70,                 1.1303,                 1.7552,                 1.1583,                0.35514,                0.21301,                0.13215,                0.09165,                 1.1959,                 1.9465,                 1.2589,               0.003169,               0.003169,               0.003169
                     71,                 1.1426,                 1.7791,                 1.1568,                0.30354,                0.20721,                0.11551,                0.07863,                 1.1989,                 1.9076,                 1.2552,                0.00307,                0.00307,                0.00307
                     72,                 1.1231,                  1.736,                 1.1532,                0.30469,                0.22508,                0.11896,                0.08191,                 1.2038,                 1.9458,                 1.2618,               0.002971,               0.002971,               0.002971
                     73,                 1.1074,                 1.7472,                 1.1549,                0.33648,                0.17903,                0.12121,                0.08348,                 1.2087,                 1.9581,                 1.2826,               0.002872,               0.002872,               0.002872
                     74,                 1.1139,                 1.7511,                 1.1441,                0.27973,                0.19269,                0.11883,                0.07783,                 1.1752,                 1.9322,                 1.2498,               0.002773,               0.002773,               0.002773
                     75,                 1.1094,                  1.728,                 1.1451,                0.28516,                0.20994,                0.11609,                 0.0817,                 1.1672,                 1.9323,                 1.2229,               0.002674,               0.002674,               0.002674
                     76,                 1.1259,                 1.7167,                 1.1536,                0.28125,                0.20992,                0.12074,                0.08473,                 1.1823,                  1.934,                 1.2324,               0.002575,               0.002575,               0.002575
                     77,                 1.1172,                 1.7023,                 1.1406,                0.45025,                0.16483,                0.11343,                0.07779,                 1.1607,                 1.9652,                 1.2447,               0.002476,               0.002476,               0.002476
                     78,                 1.0851,                 1.7113,                 1.1366,                 0.3401,                0.18909,                0.12399,                0.08809,                 1.1938,                 1.9646,                 1.2665,               0.002377,               0.002377,               0.002377
                     79,                  1.084,                 1.6946,                 1.1414,                0.27493,                0.20992,                0.11983,                0.08315,                 1.1971,                  1.927,                 1.2452,               0.002278,               0.002278,               0.002278
                     80,                 1.1002,                 1.6605,                 1.1427,                0.13971,                0.22769,                0.12743,                0.08731,                 1.1895,                 1.9523,                 1.2497,               0.002179,               0.002179,               0.002179
                     81,                 1.1202,                 1.6757,                 1.1456,                0.28914,                0.20864,                0.10976,                0.07567,                  1.166,                 1.9877,                 1.2328,                0.00208,                0.00208,                0.00208
                     82,                  1.073,                 1.6559,                 1.1287,                0.31916,                0.23694,                0.13079,                0.08942,                 1.1667,                 1.8669,                 1.2508,               0.001981,               0.001981,               0.001981
                     83,                 1.0732,                 1.6321,                 1.1229,                0.28118,                0.22445,                0.11807,                0.07758,                 1.1785,                 1.9857,                 1.2733,               0.001882,               0.001882,               0.001882
                     84,                  1.059,                 1.6255,                 1.1156,                0.46344,                0.16291,                0.11734,                0.08081,                 1.1784,                 1.9693,                 1.2538,               0.001783,               0.001783,               0.001783
                     85,                 1.0627,                 1.5833,                 1.1097,                0.30676,                0.19951,                0.12848,                0.09154,                 1.1359,                 1.8982,                 1.2303,               0.001684,               0.001684,               0.001684
                     86,                 1.0541,                 1.5812,                 1.1221,                0.29945,                0.17562,                0.11416,                0.08113,                 1.1731,                    1.9,                 1.2597,               0.001585,               0.001585,               0.001585
                     87,                 1.0326,                 1.5618,                 1.1027,                0.28314,                0.21118,                 0.1327,                0.09189,                 1.1546,                 1.8534,                 1.2394,               0.001486,               0.001486,               0.001486
                     88,                  1.033,                 1.5692,                  1.104,                 0.3029,                 0.1941,                0.11658,                0.08216,                 1.1284,                 1.9061,                 1.2299,               0.001387,               0.001387,               0.001387
                     89,                 1.0444,                 1.6029,                 1.1049,                0.29594,                 0.1909,                0.11809,                0.08365,                 1.1271,                 1.9306,                 1.2119,               0.001288,               0.001288,               0.001288
                     90,                 1.0328,                 1.5482,                  1.105,                 0.1213,                0.21039,                0.12506,                0.08784,                 1.1449,                 1.8778,                 1.2182,               0.001189,               0.001189,               0.001189
                     91,                 1.0393,                 1.5504,                 1.1077,                0.31277,                 0.2662,                0.13491,                0.09085,                 1.1485,                 1.8439,                 1.2319,                0.00109,                0.00109,                0.00109
                     92,                 1.0117,                 1.5195,                 1.0879,                0.13342,                0.21193,                   0.13,                0.09002,                 1.1434,                  1.934,                 1.2235,               0.000991,               0.000991,               0.000991
                     93,                  1.027,                 1.5358,                 1.1008,                0.29468,                0.20731,                0.13365,                0.09306,                 1.1484,                 1.9126,                 1.2313,               0.000892,               0.000892,               0.000892
                     94,                 1.0118,                 1.5238,                 1.0987,                0.14733,                0.20327,                0.12722,                0.08852,                 1.1719,                 1.8822,                 1.2433,               0.000793,               0.000793,               0.000793
                     95,                  1.001,                 1.4744,                 1.0872,                0.12853,                0.22878,                0.13346,                0.09269,                  1.155,                 1.8891,                 1.2492,               0.000694,               0.000694,               0.000694
                     96,                 1.0155,                  1.487,                 1.0941,                0.29586,                0.22615,                0.13176,                0.09164,                 1.1433,                 1.8574,                 1.2267,               0.000595,               0.000595,               0.000595
                     97,                 1.0016,                  1.481,                 1.0869,                0.12787,                0.22758,                0.13078,                0.09127,                 1.1351,                 1.8576,                 1.2307,               0.000496,               0.000496,               0.000496
                     98,                0.96732,                 1.4292,                 1.0723,                0.14065,                0.24685,                0.13229,                0.09332,                 1.1357,                 1.8268,                 1.2243,               0.000397,               0.000397,               0.000397
                     99,                0.98923,                 1.4468,                  1.082,                0.14295,                0.24441,                0.13465,                0.09399,                 1.1525,                 1.8615,                 1.2292,               0.000298,               0.000298,               0.000298
