                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.0067,                 1.2505,                 1.0294,                0.42778,                0.19848,                0.16504,                0.11595,                 1.1106,                 1.9101,                  1.141,                0.00505,                0.00505,                0.00505
                     52,                 1.0136,                 1.2708,                  1.021,                0.35097,                0.21094,                0.13838,                0.09367,                 1.1593,                 2.0614,                 1.1476,               0.004951,               0.004951,               0.004951
                     53,                0.98199,                 1.1847,                  1.007,                0.39086,                 0.2251,                0.17533,                0.11708,                 1.1159,                 1.9315,                 1.1268,               0.004852,               0.004852,               0.004852
                     54,                0.96223,                 1.1664,                 1.0029,                0.34357,                0.22599,                0.15934,                0.10683,                 1.0693,                 1.9767,                 1.1016,               0.004753,               0.004753,               0.004753
                     55,                0.95107,                 1.1613,                 1.0069,                0.35178,                0.21391,                0.15781,                0.10987,                 1.1342,                 2.0691,                 1.1504,               0.004654,               0.004654,               0.004654
                     56,                0.97707,                 1.1802,                 1.0271,                0.37783,                0.21515,                0.16637,                0.11071,                 1.0958,                 1.8548,                 1.1486,               0.004555,               0.004555,               0.004555
                     57,                0.95704,                 1.1375,                 1.0116,                0.34645,                0.20789,                0.15373,                0.10953,                  1.104,                 1.9219,                 1.1252,               0.004456,               0.004456,               0.004456
                     58,                0.94862,                 1.1218,                0.99893,                0.37382,                0.22195,                0.15803,                0.11355,                 1.1016,                 2.1626,                 1.1336,               0.004357,               0.004357,               0.004357
                     59,                 0.9618,                 1.1267,                 1.0089,                 0.4198,                 0.1814,                0.15702,                0.11005,                  1.127,                 1.9777,                 1.1419,               0.004258,               0.004258,               0.004258
                     60,                0.96046,                 1.1204,                 1.0018,                0.39543,                0.19549,                 0.1657,                0.11581,                 1.0994,                 1.9382,                 1.1206,               0.004159,               0.004159,               0.004159
                     61,                0.94735,                 1.0896,                  1.001,                 0.3751,                0.19854,                0.15877,                0.11221,                 1.1447,                 2.0774,                 1.1559,                0.00406,                0.00406,                0.00406
                     62,                0.95146,                  1.104,                 1.0044,                 0.4173,                0.19287,                0.14901,                0.10352,                 1.1445,                 2.0883,                 1.1576,               0.003961,               0.003961,               0.003961
                     63,                0.92179,                 1.0556,                0.98566,                0.33839,                0.22758,                 0.1492,                0.10539,                 1.1104,                 2.0567,                  1.134,               0.003862,               0.003862,               0.003862
                     64,                0.94322,                 1.0802,                0.99254,                 0.2927,                0.20714,                0.12355,                 0.0861,                 1.1502,                 2.1081,                 1.1755,               0.003763,               0.003763,               0.003763
                     65,                0.93764,                 1.0575,                0.99535,                0.39379,                0.20426,                0.16205,                0.11087,                 1.1091,                 1.9279,                 1.1403,               0.003664,               0.003664,               0.003664
                     66,                0.91851,                 1.0346,                0.98577,                 0.3624,                0.21346,                0.14874,                0.09799,                 1.1489,                  2.033,                 1.1698,               0.003565,               0.003565,               0.003565
                     67,                0.91763,                 1.0198,                0.98836,                0.37002,                0.21597,                 0.1453,                 0.0994,                 1.1268,                 2.0529,                 1.1661,               0.003466,               0.003466,               0.003466
                     68,                0.91217,                 1.0081,                0.98025,                 0.4378,                0.20386,                0.18025,                0.12559,                 1.1131,                 2.0285,                 1.1455,               0.003367,               0.003367,               0.003367
                     69,                0.90558,                0.98539,                0.98857,                0.37188,                0.23376,                0.16829,                0.12082,                 1.1311,                 2.0022,                 1.1594,               0.003268,               0.003268,               0.003268
                     70,                0.89817,                0.98786,                0.98088,                0.38774,                0.18873,                0.15866,                0.11249,                 1.1219,                 2.0079,                  1.132,               0.003169,               0.003169,               0.003169
                     71,                0.90928,                0.99845,                0.97956,                 0.3741,                0.25815,                 0.1763,                 0.1193,                 1.1377,                 2.0899,                 1.1537,                0.00307,                0.00307,                0.00307
                     72,                0.88795,                0.96914,                0.97815,                0.40074,                0.22107,                0.14335,                0.09405,                 1.1773,                 2.1494,                 1.1818,               0.002971,               0.002971,               0.002971
                     73,                0.87258,                0.93551,                0.97471,                 0.3596,                0.21982,                0.15337,                0.10687,                  1.113,                 2.0642,                 1.1296,               0.002872,               0.002872,               0.002872
                     74,                0.87944,                0.95258,                0.97009,                0.39097,                0.19881,                0.16035,                0.11469,                  1.127,                 1.9878,                 1.1539,               0.002773,               0.002773,               0.002773
                     75,                0.87206,                0.94378,                0.97025,                0.35758,                0.26218,                0.15927,                0.10756,                 1.1206,                 2.0454,                 1.1853,               0.002674,               0.002674,               0.002674
                     76,                 0.8841,                0.93563,                0.97798,                 0.3843,                0.27034,                0.17541,                0.12149,                 1.0969,                 2.0133,                 1.1336,               0.002575,               0.002575,               0.002575
                     77,                0.88117,                0.92431,                0.96665,                0.35545,                0.25562,                0.16623,                0.11509,                 1.0956,                 2.0089,                 1.1315,               0.002476,               0.002476,               0.002476
                     78,                0.86129,                0.93002,                0.97166,                0.37678,                0.18499,                0.14142,                0.09813,                 1.1075,                 2.1324,                 1.1444,               0.002377,               0.002377,               0.002377
                     79,                0.84619,                0.90603,                0.96484,                0.41741,                0.19699,                0.16514,                0.11566,                 1.1213,                 2.0638,                 1.1657,               0.002278,               0.002278,               0.002278
                     80,                0.87579,                0.89909,                0.97148,                0.36825,                0.21632,                0.15741,                0.11511,                  1.112,                 2.0443,                 1.1428,               0.002179,               0.002179,               0.002179
                     81,                0.89248,                0.90807,                  0.977,                0.46704,                0.19925,                0.17056,                0.12086,                 1.1129,                 2.0291,                 1.1497,                0.00208,                0.00208,                0.00208
                     82,                0.84555,                0.88972,                0.96852,                 0.3373,                0.27027,                0.17702,                 0.1293,                 1.0797,                 1.9912,                 1.1372,               0.001981,               0.001981,               0.001981
                     83,                0.84591,                0.85981,                0.95915,                0.34214,                0.24656,                 0.1548,                0.10677,                    1.1,                 2.0914,                 1.1479,               0.001882,               0.001882,               0.001882
                     84,                0.84148,                0.86029,                0.96197,                0.40893,                0.17776,                 0.1608,                 0.1131,                 1.0766,                 2.0445,                 1.1341,               0.001783,               0.001783,               0.001783
                     85,                0.85418,                0.84431,                0.96053,                0.34346,                0.23102,                0.15853,                0.11169,                 1.0924,                 2.1441,                 1.1358,               0.001684,               0.001684,               0.001684
                     86,                0.84578,                0.83735,                 0.9617,                0.40744,                0.24297,                0.16966,                0.11353,                 1.0874,                 2.0538,                 1.1451,               0.001585,               0.001585,               0.001585
                     87,                0.81962,                0.82476,                0.94985,                0.37161,                0.23612,                0.16363,                0.11515,                 1.0829,                 2.0435,                 1.1468,               0.001486,               0.001486,               0.001486
                     88,                0.82022,                0.82805,                  0.953,                0.35504,                0.25939,                0.15926,                0.10892,                 1.1008,                 2.0762,                 1.1499,               0.001387,               0.001387,               0.001387
                     89,                0.83862,                0.83839,                0.95711,                0.39703,                0.20409,                0.16301,                0.11362,                 1.0907,                 2.1047,                 1.1524,               0.001288,               0.001288,               0.001288
                     90,                0.82035,                0.81462,                0.95309,                0.37846,                0.28404,                0.16811,                0.11533,                 1.0685,                 2.0895,                 1.1324,               0.001189,               0.001189,               0.001189
                     91,                0.82994,                0.81039,                0.95614,                0.40805,                0.18132,                0.16189,                0.11333,                 1.1145,                 2.0938,                 1.1528,                0.00109,                0.00109,                0.00109
                     92,                0.80041,                 0.7836,                0.93989,                0.43098,                0.18941,                0.16264,                0.11287,                 1.1203,                 2.0977,                 1.1636,               0.000991,               0.000991,               0.000991
                     93,                0.82323,                0.79761,                0.94859,                0.35882,                0.21752,                0.15955,                0.11398,                 1.1016,                 2.1814,                 1.1471,               0.000892,               0.000892,               0.000892
                     94,                0.79793,                0.79117,                0.94712,                0.36282,                0.24915,                0.16663,                0.11795,                 1.0967,                 2.0932,                 1.1487,               0.000793,               0.000793,               0.000793
                     95,                 0.8028,                0.78049,                0.94777,                0.34994,                0.22484,                0.16015,                0.11146,                 1.0952,                 2.0777,                  1.161,               0.000694,               0.000694,               0.000694
