                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.86846,                 0.9005,                0.97194,                0.36066,                0.27582,                0.19589,                0.13721,                 1.1047,                 1.8961,                  1.124,               0.002179,               0.002179,               0.002179
                     81,                0.89113,                0.91069,                0.97699,                  0.381,                0.25754,                0.16672,                0.11859,                 1.0889,                 1.9932,                 1.1219,                0.00208,                0.00208,                0.00208
                     82,                0.85068,                0.87001,                0.97091,                0.41259,                0.24635,                0.18953,                 0.1321,                 1.0949,                 1.9217,                 1.1388,               0.001981,               0.001981,               0.001981
                     83,                0.84837,                0.87377,                0.96136,                0.39876,                0.26651,                0.17956,                0.12326,                  1.134,                 1.8981,                 1.1687,               0.001882,               0.001882,               0.001882
                     84,                0.85011,                0.85649,                0.96448,                0.37169,                0.25103,                0.17686,                0.12825,                 1.0689,                 1.9058,                 1.1249,               0.001783,               0.001783,               0.001783
                     85,                0.85381,                0.86003,                0.95513,                0.37484,                0.21247,                0.15896,                0.11522,                 1.0816,                 1.9496,                 1.1338,               0.001684,               0.001684,               0.001684
                     86,                0.85017,                0.84203,                0.96567,                0.38898,                0.22391,                0.17005,                 0.1224,                 1.0983,                 1.9048,                 1.1492,               0.001585,               0.001585,               0.001585
                     87,                0.83143,                0.82756,                0.95286,                0.38358,                0.26702,                0.18048,                0.12359,                 1.0918,                 1.9312,                 1.1451,               0.001486,               0.001486,               0.001486
                     88,                0.82636,                0.82514,                0.95368,                0.34727,                0.25548,                0.15814,                0.11151,                 1.0856,                 1.9937,                 1.1282,               0.001387,               0.001387,               0.001387
                     89,                0.84198,                0.83141,                0.95723,                0.36197,                0.22273,                0.17245,                0.12344,                 1.0733,                 1.9172,                 1.1358,               0.001288,               0.001288,               0.001288
                     90,                0.82082,                0.81881,                0.95428,                 0.3477,                0.20519,                0.16662,                 0.1185,                 1.0868,                 1.9122,                 1.1417,               0.001189,               0.001189,               0.001189
                     91,                0.82503,                  0.815,                0.95509,                0.36606,                0.25816,                0.17352,                0.12014,                 1.0781,                 1.9135,                 1.1372,                0.00109,                0.00109,                0.00109
                     92,                0.80237,                0.78806,                0.93995,                0.42767,                0.20374,                0.16443,                0.11514,                 1.0763,                 1.9754,                 1.1359,               0.000991,               0.000991,               0.000991
                     93,                0.82366,                0.80963,                0.94736,                0.41377,                0.20374,                0.16837,                 0.1171,                 1.0881,                 1.9311,                 1.1488,               0.000892,               0.000892,               0.000892
                     94,                0.80015,                 0.7797,                0.94685,                 0.4226,                0.23107,                0.18053,                0.12544,                 1.0891,                 1.9307,                 1.1374,               0.000793,               0.000793,               0.000793
                     95,                0.79811,                0.76485,                  0.947,                0.36508,                0.23839,                0.17309,                0.12393,                 1.0702,                 1.9418,                  1.134,               0.000694,               0.000694,               0.000694
                     96,                0.82559,                0.78314,                0.95585,                0.37312,                0.23117,                0.16979,                0.12222,                 1.0576,                 1.9623,                 1.1172,               0.000595,               0.000595,               0.000595
                     97,                0.80246,                0.77652,                0.94611,                 0.3686,                0.25443,                0.17071,                0.12389,                 1.0487,                 1.9854,                 1.1199,               0.000496,               0.000496,               0.000496
                     98,                 0.7783,                0.74337,                0.93454,                0.40153,                0.20956,                0.18177,                 0.1297,                 1.0546,                 1.9265,                 1.1195,               0.000397,               0.000397,               0.000397
                     99,                0.79796,                 0.7687,                0.94631,                0.36142,                0.24992,                0.17812,                0.12799,                 1.0658,                 1.9238,                 1.1184,               0.000298,               0.000298,               0.000298
